timestamp,people,gaits,env,sound
1757679670.094552,1,NO GAIT,day|haze,65
1757679670.2381122,1,NO GAIT,day|haze,99
1757679670.3509398,1,NO GAIT,day|haze,58
1757679670.4790003,1,NO GAIT,day|haze,94
1757679670.6837962,1,NO GAIT,day|haze,99
1757679670.8261986,1,NO GAIT,day|haze,47
1757679670.956106,1,NO GAIT,day|haze,69
1757679671.1116064,1,NO GAIT,day|haze,55
1757679671.2375383,1,NO GAIT,day|haze,104
1757679671.4125454,1,NO GAIT,day|haze,70
1757679671.5507517,1,NO GAIT,day|haze,85
1757679671.6791356,1,NO GAIT,day|haze,67
1757679671.8044293,1,NO GAIT,day|haze,73
1757679671.9640808,1,NO GAIT,day|haze,81
1757679672.125376,1,NO GAIT,day|haze,100
1757679672.2460132,1,NO GAIT,day|haze,87
1757679672.3940246,1,NO GAIT,day|haze,66
1757679672.5147293,1,NO GAIT,day|haze,108
1757679672.6485393,1,NO GAIT,day|haze,85
1757679672.835662,1,NO GAIT,day|haze,78
1757679672.9829652,2,NO GAIT|NO GAIT,day|haze,90
1757679673.1003802,1,NO GAIT,day|haze,104
1757679673.2632542,3,NO GAIT|NO GAIT|NO GAIT,day|haze,53
1757679673.4125664,3,NO GAIT|NO GAIT|NO GAIT,day|haze,87
1757679673.5469573,2,NO GAIT|NO GAIT,day|haze,50
1757679673.703489,2,NO GAIT|NO GAIT,day|haze,90
1757679673.8201904,1,NO GAIT,day|haze,94
1757679674.0042615,1,NO GAIT,day|haze,93
1757679674.1555996,1,NO GAIT,day|haze,108
1757679674.2863903,1,NO GAIT,day|haze,74
1757679674.4016263,1,NO GAIT,day|haze,43
1757679674.525562,1,NO GAIT,day|haze,99
1757679674.6383739,1,NO GAIT,day|haze,109
1757679674.8077586,2,NO GAIT|NO GAIT,day|haze,98
1757679674.9487116,2,NO GAIT|NO GAIT,day|haze,59
1757679675.087441,2,NO GAIT|NO GAIT,day|haze,57
1757679675.2236142,1,NO GAIT,day|haze,67
1757679675.3246043,1,NO GAIT,day|haze,95
1757679675.4716036,1,NO GAIT,day|haze,70
