timestamp,people,gaits,env,temperature
1757739895.7941806,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739896.2577884,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739896.6102982,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739896.9702318,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739897.3268023,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739897.682813,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739898.0449388,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739898.4250424,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739898.824681,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739899.2126865,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739899.6031132,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739900.0547707,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739900.5293276,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739900.8859634,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739901.2620573,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739901.6159089,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739902.0169294,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739902.3635292,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739902.723679,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739903.10262,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739903.4429388,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739903.8028748,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739904.128026,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739904.5058186,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739904.889464,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739905.2413208,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739905.6204486,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739905.9728832,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739906.3267279,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739906.7192652,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739907.109248,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739907.4611506,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739907.8510387,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739908.1921878,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739908.5481997,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739908.933954,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739909.3070168,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
1757739909.6671827,3,NO GAIT|NO GAIT|NO GAIT,day|drizzle,27.01
