timestamp,people,gaits,env,sound
1757692953.4183686,1,NO GAIT,night|mist,75
1757692953.5053916,1,NO GAIT,night|mist,83
1757692953.5835874,1,NO GAIT,night|mist,59
1757692953.6579087,1,NO GAIT,night|mist,90
1757692953.7326446,1,NO GAIT,night|mist,94
1757692953.805946,1,NO GAIT,night|mist,85
1757692953.8884423,1,NO GAIT,night|mist,101
1757692953.966689,1,NO GAIT,night|mist,63
1757692954.0269241,0,None,night|mist,68
1757692954.0868342,0,None,night|mist,41
1757692954.1473126,0,None,night|mist,97
1757692954.2077506,0,None,night|mist,67
1757692954.2549577,0,None,night|mist,76
1757692954.3244267,0,None,night|mist,84
1757692954.3824344,0,None,night|mist,88
1757692954.4499185,0,None,night|mist,91
1757692954.5243864,0,None,night|mist,104
1757692954.594716,0,None,night|mist,42
1757692954.646071,0,None,night|mist,76
1757692954.709842,0,None,night|mist,95
1757692954.7628858,0,None,night|mist,55
1757692954.8286617,0,None,night|mist,110
1757692954.8908947,0,None,night|mist,50
1757692954.9651918,0,None,night|mist,102
1757692955.0437949,0,None,night|mist,87
1757692955.1105716,0,None,night|mist,101
1757692955.1728084,0,None,night|mist,104
1757692955.404254,0,None,night|mist,101
1757692955.454446,0,None,night|mist,62
1757692955.5154316,0,None,night|mist,96
1757692955.5821853,0,None,night|mist,106
1757692955.6600928,1,NO GAIT,night|mist,64
1757692955.7562125,1,NO GAIT,night|mist,105
1757692955.8372555,1,NO GAIT,night|mist,102
1757692955.9129171,1,NO GAIT,night|mist,90
1757692955.987713,1,NO GAIT,night|mist,102
1757692956.0721505,1,NO GAIT,night|mist,106
1757692956.146938,1,NO GAIT,night|mist,97
1757692956.226003,1,NO GAIT,night|mist,63
1757692956.3067582,1,NO GAIT,night|mist,62
1757692956.3860202,1,NO GAIT,night|mist,52
1757692956.4580317,1,NO GAIT,night|mist,72
1757692956.5492673,1,NO GAIT,night|mist,97
1757692956.6531885,1,NO GAIT,night|mist,84
1757692956.7299962,1,NO GAIT,night|mist,72
1757692956.802868,1,NO GAIT,night|mist,97
1757692956.8757932,1,NO GAIT,night|mist,69
1757692956.9577918,1,NO GAIT,night|mist,75
1757692957.0912611,1,NO GAIT,night|mist,82
1757692957.181138,1,NO GAIT,night|mist,50
1757692957.2636983,1,NO GAIT,night|mist,71
1757692957.3357694,1,NO GAIT,night|mist,90
1757692957.393775,0,None,night|mist,52
1757692957.44472,0,None,night|mist,90
1757692957.5304012,2,NO GAIT|NO GAIT,night|mist,93
1757692957.5917573,0,None,night|mist,105
1757692957.6517687,0,None,night|mist,101
1757692957.7104719,0,None,night|mist,107
1757692957.7728095,0,None,night|mist,89
1757692957.8517878,1,NO GAIT,night|mist,44
1757692957.9107563,0,None,night|mist,103
1757692957.9867876,1,NO GAIT,night|mist,41
1757692958.0738413,1,NO GAIT,night|mist,97
1757692958.1474824,1,NO GAIT,night|mist,78
1757692958.220881,1,NO GAIT,night|mist,45
1757692958.2857637,1,NO GAIT,night|mist,109
1757692958.369047,1,NO GAIT,night|mist,105
1757692958.4409833,1,NO GAIT,night|mist,40
1757692958.5400546,1,NO GAIT,night|mist,85
1757692958.6193972,1,NO GAIT,night|mist,101
1757692958.6922724,1,NO GAIT,night|mist,40
1757692958.760465,0,None,night|mist,80
1757692958.8221993,0,None,night|mist,68
1757692958.8800876,0,None,night|mist,102
1757692958.9384859,0,None,night|mist,50
1757692959.0245032,1,NO GAIT,night|mist,103
1757692959.1089513,1,NO GAIT,night|mist,40
1757692959.1774945,0,None,night|mist,67
1757692959.2465286,0,None,night|mist,97
1757692959.3102994,0,None,night|mist,50
1757692959.3697438,0,None,night|mist,86
1757692959.4265587,0,None,night|mist,106
1757692959.4801507,0,None,night|mist,89
1757692959.5343888,0,None,night|mist,55
1757692959.595754,0,None,night|mist,63
1757692959.6420908,0,None,night|mist,93
