timestamp,people,gaits,env,sound
1757679146.3890102,0,None,day|haze,68
1757679146.5305805,0,None,day|haze,64
1757679146.6662958,0,None,day|haze,57
1757679146.802006,0,None,day|haze,103
1757679146.9391482,1,No Gait,day|haze,42
1757679147.0696754,2,No Gait|No Gait,day|haze,97
1757679147.2175791,2,No Gait|No Gait,day|haze,76
1757679147.3512244,2,No Gait|No Gait,day|haze,52
1757679147.4756248,2,No Gait|No Gait,day|haze,52
1757679147.5989988,2,No Gait|No Gait,day|haze,78
1757679147.7282321,2,No Gait|No Gait,day|haze,65
1757679147.852753,2,No Gait|No Gait,day|haze,53
1757679147.9658966,2,No Gait|No Gait,day|haze,101
1757679148.097149,2,No Gait|No Gait,day|haze,103
1757679148.2292693,2,No Gait|No Gait,day|haze,76
1757679148.351803,2,No Gait|No Gait,day|haze,63
1757679148.4798317,2,No Gait|No Gait,day|haze,41
1757679148.6298692,2,No Gait|No Gait,day|haze,85
1757679148.7449744,2,No Gait|No Gait,day|haze,46
1757679148.8620393,2,No Gait|No Gait,day|haze,93
1757679149.0034401,1,No Gait,day|haze,99
1757679149.1013222,0,None,day|haze,79
1757679149.2405074,1,No Gait,day|haze,47
1757679149.3729484,1,No Gait,day|haze,88
1757679149.517789,2,No Gait|No Gait,day|haze,88
1757679149.648084,2,No Gait|No Gait,day|haze,56
1757679149.805841,2,No Gait|No Gait,day|haze,60
1757679149.9231017,0,None,day|haze,63
1757679150.0323412,0,None,day|haze,104
1757679150.1541173,1,No Gait,day|haze,50
1757679150.2612233,1,No Gait,day|haze,69
1757679150.368593,0,None,day|haze,73
1757679150.4646497,1,No Gait,day|haze,52
1757679150.5751398,0,None,day|haze,53
1757679150.6848104,0,None,day|haze,106
1757679150.8160021,0,None,day|haze,64
1757679150.9370735,0,None,day|haze,40
1757679151.0548704,0,None,day|haze,96
1757679151.1488156,0,None,day|haze,98
1757679151.247914,0,None,day|haze,81
1757679151.3329396,0,None,day|haze,82
1757679151.4588697,0,None,day|haze,101
1757679151.5491507,0,None,day|haze,70
1757679151.6330674,0,None,day|haze,96
1757679151.7350988,0,None,day|haze,88
1757679151.8574052,0,None,day|haze,49
1757679151.9489465,0,None,day|haze,49
1757679152.053966,0,None,day|haze,86
1757679152.14062,0,None,day|haze,46
1757679152.2427623,0,None,day|haze,101
1757679152.3285253,0,None,day|haze,106
1757679152.4342837,1,No Gait,day|haze,60
1757679152.54166,1,No Gait,day|haze,100
1757679152.6385448,1,No Gait,day|haze,76
1757679152.734517,1,No Gait,day|haze,44
1757679152.8348775,1,No Gait,day|haze,70
1757679152.9430907,1,No Gait,day|haze,40
1757679153.036594,1,No Gait,day|haze,100
1757679153.137398,1,No Gait,day|haze,89
1757679153.2693596,1,No Gait,day|haze,92
1757679153.3591413,1,No Gait,day|haze,78
1757679153.4570527,1,No Gait,day|haze,69
1757679153.5494907,1,No Gait,day|haze,56
1757679153.6474233,1,No Gait,day|haze,60
1757679153.7561402,1,No Gait,day|haze,75
1757679153.841343,1,No Gait,day|haze,40
1757679153.9482787,1,No Gait,day|haze,49
1757679154.063215,1,No Gait,day|haze,48
1757679154.1589167,1,No Gait,day|haze,40
1757679154.2699509,0,None,day|haze,96
1757679154.3842478,0,None,day|haze,43
1757679154.477829,0,None,day|haze,71
1757679154.5765734,0,None,day|haze,99
1757679154.669525,0,None,day|haze,65
1757679154.7809157,0,None,day|haze,84
1757679154.8610709,0,None,day|haze,54
1757679154.9594233,0,None,day|haze,72
1757679155.0573041,0,None,day|haze,54
1757679155.143133,0,None,day|haze,86
1757679155.2345953,0,None,day|haze,86
1757679155.292544,0,None,day|haze,46
1757679155.3729842,0,None,day|haze,94
1757679155.4399881,0,None,day|haze,40
1757679155.5162137,0,None,day|haze,104
1757679155.582282,0,None,day|haze,74
1757679155.649073,0,None,day|haze,88
1757679155.728777,0,None,day|haze,85
1757679155.7900772,0,None,day|haze,50
1757679155.8713524,0,None,day|haze,72
1757679155.9384594,0,None,day|haze,89
1757679156.0145745,0,None,day|haze,96
1757679156.0812774,0,None,day|haze,93
1757679156.1592379,0,None,day|haze,83
1757679156.2219274,0,None,day|haze,61
1757679156.3011374,0,None,day|haze,59
1757679156.3755343,0,None,day|haze,79
1757679156.4435132,0,None,day|haze,66
1757679156.5314147,0,None,day|haze,58
1757679156.6197376,0,None,day|haze,87
1757679156.6862843,0,None,day|haze,74
1757679156.7673259,0,None,day|haze,51
1757679156.8523781,0,None,day|haze,52
1757679156.9342923,0,None,day|haze,97
1757679157.0093842,0,None,day|haze,47
1757679157.070578,0,None,day|haze,109
1757679157.149006,0,None,day|haze,69
1757679157.2398732,0,None,day|haze,68
1757679157.3259044,0,None,day|haze,88
1757679157.4403718,0,None,day|haze,78
1757679157.5603464,1,No Gait,day|haze,96
1757679157.6974545,0,None,day|haze,71
1757679157.8105948,0,None,day|haze,107
1757679157.9371333,0,None,day|haze,97
1757679158.02696,0,None,day|haze,54
1757679158.12673,0,None,day|haze,93
1757679158.2087243,0,None,day|haze,89
1757679158.3016782,0,None,day|haze,108
1757679158.416006,0,None,day|haze,49
1757679158.524909,0,None,day|haze,61
1757679158.6324637,0,None,day|haze,67
1757679158.7399752,0,None,day|haze,95
1757679158.8487191,0,None,day|haze,109
1757679158.9607944,1,No Gait,day|haze,105
1757679159.06067,1,No Gait,day|haze,69
1757679159.1646001,1,No Gait,day|haze,83
1757679159.308417,1,No Gait,day|haze,55
1757679159.4030015,1,No Gait,day|haze,106
1757679159.5026057,1,No Gait,day|haze,40
1757679159.5978625,1,No Gait,day|haze,66
1757679159.691903,1,No Gait,day|haze,73
1757679159.790922,1,No Gait,day|haze,40
1757679159.903211,1,No Gait,day|haze,44
1757679160.0217595,1,No Gait,day|haze,72
1757679160.1418142,1,No Gait,day|haze,74
1757679160.2364523,1,No Gait,day|haze,89
1757679160.348265,1,No Gait,day|haze,48
1757679160.4539666,1,No Gait,day|haze,93
1757679160.5558274,1,No Gait,day|haze,45
1757679160.654572,1,No Gait,day|haze,83
1757679160.750524,1,No Gait,day|haze,68
1757679160.8449516,1,No Gait,day|haze,96
1757679160.9739242,1,No Gait,day|haze,94
1757679161.0882688,1,No Gait,day|haze,77
1757679161.2042654,1,No Gait,day|haze,103
1757679161.31113,1,No Gait,day|haze,95
1757679161.4039335,1,No Gait,day|haze,104
1757679161.5171356,1,No Gait,day|haze,44
1757679161.6167998,1,No Gait,day|haze,46
1757679161.7105029,1,No Gait,day|haze,93
1757679161.8160903,1,No Gait,day|haze,58
1757679161.9163988,1,No Gait,day|haze,91
1757679162.0151556,1,No Gait,day|haze,83
1757679162.109675,1,No Gait,day|haze,92
1757679162.2425783,1,No Gait,day|haze,104
1757679162.3605843,2,No Gait|No Gait,day|haze,78
1757679162.4912086,2,No Gait|No Gait,day|haze,56
1757679162.609246,0,None,day|haze,87
1757679162.7338963,0,None,day|haze,68
1757679162.8650057,0,None,day|haze,104
1757679163.0049098,1,No Gait,day|haze,89
1757679163.124301,2,No Gait|No Gait,day|haze,88
1757679163.247814,2,No Gait|No Gait,day|haze,44
1757679163.3854232,2,No Gait|No Gait,day|haze,91
1757679163.5007687,0,None,day|haze,63
1757679163.6075623,0,None,day|haze,43
1757679163.6969812,0,None,day|haze,110
1757679163.8276896,1,No Gait,day|haze,84
1757679163.933868,1,No Gait,day|haze,79
1757679164.0161831,1,No Gait,day|haze,99
1757679164.1254632,1,No Gait,day|haze,77
1757679164.2213466,1,No Gait,day|haze,40
1757679164.3628807,0,None,day|haze,45
1757679164.4487581,0,None,day|haze,86
1757679164.540376,0,None,day|haze,105
1757679164.6626236,1,No Gait,day|haze,50
1757679164.7692032,1,No Gait,day|haze,45
1757679164.8597999,1,No Gait,day|haze,109
1757679164.9806976,1,No Gait,day|haze,41
1757679165.07825,1,No Gait,day|haze,86
1757679165.1850057,1,No Gait,day|haze,108
1757679165.2938838,1,No Gait,day|haze,90
1757679165.4216058,1,No Gait,day|haze,106
1757679165.533871,1,No Gait,day|haze,75
1757679165.6495519,1,No Gait,day|haze,42
1757679165.7468636,1,No Gait,day|haze,106
1757679165.8500586,1,No Gait,day|haze,78
1757679165.9606109,1,No Gait,day|haze,105
1757679166.0543132,1,No Gait,day|haze,63
