timestamp,people,gaits,env,sound
1756702599.6981404,0,None,day|clear,63
1756702599.9422998,0,None,day|clear,62
1756702600.2717347,0,None,day|clear,99
1756702600.5624409,0,None,day|clear,93
1756702600.8205476,0,None,day|clear,79
1756702601.0802794,0,None,day|clear,101
1756702601.406003,0,None,day|clear,45
1756702601.6528656,0,None,day|clear,103
1756702601.9336922,0,None,day|clear,57
1756702602.204009,0,None,day|clear,75
1756702602.4470155,0,None,day|clear,82
1756702602.7080512,0,None,day|clear,104
1756702603.0714104,0,None,day|clear,58
1756702603.2911518,0,None,day|clear,87
1756702603.5478415,0,None,day|clear,85
1756702603.84581,0,None,day|clear,71
1756702604.110196,0,None,day|clear,108
1756702604.3945322,0,None,day|clear,96
1756702604.663757,0,None,day|clear,41
1756702604.9282477,0,None,day|clear,80
1756702605.2077239,0,None,day|clear,77
1756702605.4763691,0,None,day|clear,109
1756702605.7679324,0,None,day|clear,51
1756702605.9977374,0,None,day|clear,105
1756702606.2286272,0,None,day|clear,75
1756702606.5285578,0,None,day|clear,89
1756702606.8698552,0,None,day|clear,43
1756702607.1502411,0,None,day|clear,45
1756702607.4430861,0,None,day|clear,107
1756702607.8958287,0,None,day|clear,68
1756702608.1867914,0,None,day|clear,97
1756702608.4462569,0,None,day|clear,108
1756702608.7160923,0,None,day|clear,58
1756702608.9754274,0,None,day|clear,60
1756702609.293894,0,None,day|clear,53
1756702609.626139,0,None,day|clear,110
1756702609.924362,0,None,day|clear,79
1756702610.2639394,0,None,day|clear,108
1756702610.6374214,0,None,day|clear,103
1756702610.864823,0,None,day|clear,61
1756702611.2138555,0,None,day|clear,41
1756702611.5240452,0,None,day|clear,65
1756702611.8499148,0,None,day|clear,88
1756702612.259457,0,None,day|clear,105
1756702612.6082928,0,None,day|clear,80
1756702613.0026524,0,None,day|clear,76
1756702613.316065,0,None,day|clear,63
1756702613.6343093,0,None,day|clear,55
1756702614.0183709,0,None,day|clear,107
1756702614.3416734,0,None,day|clear,85
1756702614.6373832,0,None,day|clear,92
1756702614.9394147,0,None,day|clear,84
1756702615.22029,0,None,day|clear,43
1756702615.5447395,0,None,day|clear,62
1756702615.846734,0,None,day|clear,52
1756702616.1169643,0,None,day|clear,88
1756702616.4269125,0,None,day|clear,59
1756702616.7581322,0,None,day|clear,52
1756702617.0672092,0,None,day|clear,81
1756702617.4016845,0,None,day|clear,47
1756702617.7475657,0,None,day|clear,81
1756702618.136524,0,None,day|clear,72
1756702618.5480976,0,None,day|clear,61
1756702618.8335648,0,None,day|clear,107
1756702619.0942595,0,None,day|clear,102
1756702619.4363003,0,None,day|clear,85
1756702619.7638054,0,None,day|clear,59
1756702620.1435113,0,None,day|clear,81
1756702620.3909183,0,None,day|clear,70
1756702620.6961434,0,None,day|clear,51
1756702620.9769778,0,None,day|clear,47
1756702621.2279158,0,None,day|clear,63
1756702621.5348144,0,None,day|clear,84
1756702621.799513,0,None,day|clear,89
1756702622.0389264,0,None,day|clear,76
1756702622.2916803,0,None,day|clear,55
1756702622.5405817,0,None,day|clear,102
1756702622.8066566,0,None,day|clear,49
1756702623.0878978,0,None,day|clear,84
1756702623.3102865,0,None,day|clear,89
1756702623.5647666,0,None,day|clear,110
1756702623.8534968,0,None,day|clear,106
1756702624.126579,0,None,day|clear,81
1756702624.3918183,0,None,day|clear,51
1756702624.7473001,0,None,day|clear,86
1756702625.0812168,0,None,day|clear,54
1756702625.442171,0,None,day|clear,86
1756702625.8005643,0,None,day|clear,42
1756702626.0683026,0,None,day|clear,74
1756702626.419676,0,None,day|clear,110
1756702626.717806,0,None,day|clear,40
1756702627.0394657,0,None,day|clear,94
1756702627.313697,0,None,day|clear,82
1756702627.5911117,0,None,day|clear,92
1756702627.8223872,0,None,day|clear,56
1756702628.048624,0,None,day|clear,96
1756702628.333487,0,None,day|clear,109
1756702628.5868034,0,None,day|clear,69
1756702628.857404,0,None,day|clear,97
1756702629.1744664,0,None,day|clear,47
1756702629.4862695,0,None,day|clear,82
1756702629.8113348,0,None,day|clear,61
1756702630.1310925,0,None,day|clear,91
1756702630.4884958,0,None,day|clear,45
1756702630.8388517,0,None,day|clear,84
1756702631.2053041,0,None,day|clear,81
1756702631.5489774,0,None,day|clear,101
1756702631.862057,0,None,day|clear,66
1756702632.173702,0,None,day|clear,83
1756702632.4994283,0,None,day|clear,75
1756702632.8192897,0,None,day|clear,93
1756702633.212012,0,None,day|clear,95
1756702633.607493,0,None,day|clear,91
1756702633.9429374,0,None,day|clear,44
1756702634.3158405,0,None,day|clear,94
1756702634.6504557,0,None,day|clear,45
1756702635.0131996,0,None,day|clear,71
1756702635.3829598,0,None,day|clear,48
1756702635.715432,0,None,day|clear,79
1756702636.0451438,0,None,day|clear,78
1756702636.3803933,0,None,day|clear,97
1756702636.7516556,0,None,day|clear,47
1756702637.0596266,0,None,day|clear,72
1756702637.475734,0,None,day|clear,74
1756702637.8047721,0,None,day|clear,47
1756702638.1533477,0,None,day|clear,107
1756702638.531664,0,None,day|clear,56
1756702638.8582423,0,None,day|clear,76
1756702639.140912,0,None,day|clear,92
1756702639.51277,0,None,day|clear,100
1756702639.8934774,0,None,day|clear,96
1756702640.255334,0,None,day|clear,103
1756702640.6031017,0,None,day|clear,97
1756702640.9627812,0,None,day|clear,107
1756702641.2436266,0,None,day|clear,57
1756702641.5914023,0,None,day|clear,98
1756702641.8652027,0,None,day|clear,44
1756702642.140265,0,None,day|clear,62
1756702642.4070194,0,None,day|clear,82
1756702642.7853537,0,None,day|clear,67
1756702643.1509337,0,None,day|clear,108
1756702643.5093603,0,None,day|clear,82
1756702643.8444772,0,None,day|clear,97
1756702644.1826537,0,None,day|clear,57
1756702644.5266066,0,None,day|clear,101
1756702644.8788915,0,None,day|clear,97
1756702645.1314197,0,None,day|clear,68
1756702645.4341674,0,None,day|clear,52
1756702645.7796922,0,None,day|clear,96
1756702646.0799851,0,None,day|clear,105
1756702646.3807852,0,None,day|clear,60
1756702646.7446985,0,None,day|clear,82
1756702647.0051425,0,None,day|clear,88
1756702647.317683,0,None,day|clear,99
1756702647.6980333,0,None,day|clear,75
1756702648.0198708,0,None,day|clear,47
1756702648.300205,0,None,day|clear,57
1756702648.620551,0,None,day|clear,69
1756702648.9110038,0,None,day|clear,89
1756702649.2499247,0,None,day|clear,60
1756702649.6633024,0,None,day|clear,84
1756702649.9644206,0,None,day|clear,85
1756702650.3504035,0,None,day|clear,103
1756702650.7420797,0,None,day|clear,41
1756702651.1115456,0,None,day|clear,84
1756702651.4435701,0,None,day|clear,92
1756702651.785953,0,None,day|clear,76
1756702652.1633205,0,None,day|clear,92
1756702652.5310898,0,None,day|clear,93
1756702652.8981445,0,None,day|clear,53
1756702653.255202,0,None,day|clear,68
1756702653.6104176,0,None,day|clear,101
1756702653.9450026,0,None,day|clear,103
1756702654.2651043,0,None,day|clear,88
1756702654.5946484,0,None,day|clear,108
1756702654.886546,0,None,day|clear,49
1756702655.2577813,0,None,day|clear,73
1756702655.5929844,0,None,day|clear,110
1756702656.000462,0,None,day|clear,44
1756702656.3273668,0,None,day|clear,94
1756702656.612767,0,None,day|clear,103
1756702656.938302,0,None,day|clear,99
1756702657.2835236,0,None,day|clear,52
1756702657.641094,0,None,day|clear,75
1756702658.3400745,0,None,day|clouds,52
1756702658.6908956,0,None,day|clouds,68
1756702659.08185,0,None,day|clouds,61
1756702659.3557463,0,None,day|clouds,95
1756702659.700448,0,None,day|clouds,50
1756702660.0273302,0,None,day|clouds,69
1756702660.3930924,0,None,day|clouds,73
1756702660.7161777,0,None,day|clouds,52
1756702661.0720184,0,None,day|clouds,67
1756702661.4219103,0,None,day|clouds,59
1756702661.7634637,0,None,day|clouds,56
1756702662.137555,0,None,day|clouds,68
1756702662.4548962,0,None,day|clouds,79
1756702662.9049861,0,None,day|clouds,51
1756702663.2339187,0,None,day|clouds,90
1756702663.550564,0,None,day|clouds,58
1756702663.9294968,0,None,day|clouds,90
1756702664.296161,0,None,day|clouds,93
1756702664.6696558,0,None,day|clouds,105
1756702665.0332696,0,None,day|clouds,75
1756702665.3175404,0,None,day|clouds,60
1756702665.6667888,0,None,day|clouds,100
1756702666.0153563,0,None,day|clouds,90
1756702666.3689005,0,None,day|clouds,107
1756702666.7058501,0,None,day|clouds,74
1756702667.087552,0,None,day|clouds,47
1756702667.4165459,0,None,day|clouds,94
1756702667.7466726,0,None,day|clouds,42
1756702668.1773462,0,None,day|clouds,101
1756702668.452931,0,None,day|clouds,110
1756702668.7771206,0,None,day|clouds,91
1756702669.0959597,0,None,day|clouds,62
1756702669.3773608,0,None,day|clouds,108
1756702669.6957154,0,None,day|clouds,40
1756702670.0105994,0,None,day|clouds,76
1756702670.3201125,0,None,day|clouds,95
1756702670.655497,0,None,day|clouds,104
1756702670.9518013,0,None,day|clouds,99
1756702671.2583196,0,None,day|clouds,50
1756702671.527612,0,None,day|clouds,71
1756702671.8536122,0,None,day|clouds,95
1756702672.174124,0,None,day|clouds,78
1756702672.5246503,0,None,day|clouds,50
1756702672.7864182,0,None,day|clouds,84
1756702673.0719516,0,None,day|clouds,53
1756702673.337169,0,None,day|clouds,47
1756702673.6585717,0,None,day|clouds,57
1756702673.9451017,0,None,day|clouds,40
1756702674.313077,0,None,day|clouds,109
1756702674.5662897,0,None,day|clouds,60
1756702674.8383963,0,None,day|clouds,40
1756702675.1145556,0,None,day|clouds,67
1756702675.4603562,0,None,day|clouds,60
1756702675.7628117,0,None,day|clouds,82
1756702676.0830147,0,None,day|clouds,65
1756702676.323627,0,None,day|clouds,49
1756702676.6607327,0,None,day|clouds,71
1756702677.025829,0,None,day|clouds,101
1756702677.3716784,0,None,day|clouds,101
1756702677.6375716,0,None,day|clouds,91
1756702677.9557326,0,None,day|clouds,75
