timestamp,people,gaits,env,sound
1757731908.0977933,3,NO GAIT|NO GAIT|NO GAIT,day|mist,74
1757731908.209051,3,NO GAIT|NO GAIT|NO GAIT,day|mist,83
1757731908.321474,3,NO GAIT|NO GAIT|NO GAIT,day|mist,90
1757731908.4475667,3,NO GAIT|NO GAIT|NO GAIT,day|mist,72
1757731908.5936146,3,NO GAIT|NO GAIT|NO GAIT,day|mist,103
1757731908.7190902,3,NO GAIT|NO GAIT|NO GAIT,day|mist,56
1757731908.8311243,3,NO GAIT|NO GAIT|NO GAIT,day|mist,61
1757731908.9473002,3,NO GAIT|NO GAIT|NO GAIT,day|mist,86
1757731909.090958,3,NO GAIT|NO GAIT|NO GAIT,day|mist,91
1757731909.232601,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,83
1757731909.3847582,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,105
1757731909.536325,5,NO GAIT|NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,85
1757731909.7271402,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,64
1757731909.8641403,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,41
1757731910.000058,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,77
1757731910.1334424,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,48
1757731910.2712278,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,87
1757731910.433455,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,55
1757731910.5439239,3,NO GAIT|NO GAIT|NO GAIT,day|mist,62
1757731910.6731608,3,NO GAIT|NO GAIT|NO GAIT,day|mist,64
1757731910.7947474,3,NO GAIT|NO GAIT|NO GAIT,day|mist,100
1757731910.9259021,3,NO GAIT|NO GAIT|NO GAIT,day|mist,94
1757731911.0710332,3,NO GAIT|NO GAIT|NO GAIT,day|mist,61
1757731911.2176616,3,NO GAIT|NO GAIT|NO GAIT,day|mist,62
1757731911.344654,3,NO GAIT|NO GAIT|NO GAIT,day|mist,69
1757731911.4715285,3,NO GAIT|NO GAIT|NO GAIT,day|mist,88
1757731911.6103153,3,NO GAIT|NO GAIT|NO GAIT,day|mist,42
1757731911.7281525,3,NO GAIT|NO GAIT|NO GAIT,day|mist,103
1757731911.841602,3,NO GAIT|NO GAIT|NO GAIT,day|mist,68
1757731911.995286,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,52
1757731912.110808,3,NO GAIT|NO GAIT|NO GAIT,day|mist,62
1757731912.2405078,3,NO GAIT|NO GAIT|NO GAIT,day|mist,69
1757731912.3914602,3,NO GAIT|NO GAIT|NO GAIT,day|mist,52
1757731912.512352,3,NO GAIT|NO GAIT|NO GAIT,day|mist,52
1757731912.667904,3,NO GAIT|NO GAIT|NO GAIT,day|mist,87
1757731912.7696612,3,NO GAIT|NO GAIT|NO GAIT,day|mist,56
1757731912.9138167,3,NO GAIT|NO GAIT|NO GAIT,day|mist,101
1757731913.03517,3,NO GAIT|NO GAIT|NO GAIT,day|mist,69
1757731913.1590877,3,NO GAIT|NO GAIT|NO GAIT,day|mist,106
1757731913.3221805,3,NO GAIT|NO GAIT|NO GAIT,day|mist,41
1757731913.4862072,3,NO GAIT|NO GAIT|NO GAIT,day|mist,73
1757731913.551521,0,None,day|mist,97
1757731913.6155019,0,None,day|mist,100
1757731913.679702,0,None,day|mist,61
1757731913.759257,0,None,day|mist,68
1757731913.8395348,0,None,day|mist,84
1757731913.9031482,0,None,day|mist,73
1757731913.9758253,0,None,day|mist,69
1757731914.047851,0,None,day|mist,80
1757731914.1436515,0,None,day|mist,97
1757731914.2230098,0,None,day|mist,106
1757731914.3028853,0,None,day|mist,77
1757731914.3899918,0,None,day|mist,87
1757731914.463145,0,None,day|mist,41
1757731914.5327322,0,None,day|mist,65
1757731914.5787866,0,None,day|mist,73
1757731914.669273,0,None,day|mist,102
1757731914.738265,0,None,day|mist,44
1757731914.8008676,0,None,day|mist,65
1757731914.8638184,0,None,day|mist,47
1757731914.9693146,0,None,day|mist,71
1757731915.0445867,0,None,day|mist,61
