timestamp,people,gaits,env,sound
1757731460.9465032,2,NO GAIT|NO GAIT,day|mist,90
1757731461.0423648,2,NO GAIT|NO GAIT,day|mist,42
1757731461.136558,2,NO GAIT|NO GAIT,day|mist,45
1757731461.2453022,2,NO GAIT|NO GAIT,day|mist,106
1757731461.3640163,2,NO GAIT|NO GAIT,day|mist,102
1757731461.4670682,2,NO GAIT|NO GAIT,day|mist,98
1757731461.5575163,2,NO GAIT|NO GAIT,day|mist,65
1757731461.6594691,2,NO GAIT|NO GAIT,day|mist,72
1757731461.7441912,2,NO GAIT|NO GAIT,day|mist,89
1757731461.8420677,2,NO GAIT|NO GAIT,day|mist,61
1757731461.9526277,3,NO GAIT|NO GAIT|NO GAIT,day|mist,88
1757731462.06385,3,NO GAIT|NO GAIT|NO GAIT,day|mist,96
1757731462.1889718,3,NO GAIT|NO GAIT|NO GAIT,day|mist,91
1757731462.319022,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,71
1757731462.4720647,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,75
1757731462.572128,2,NO GAIT|NO GAIT,day|mist,89
1757731462.7269104,3,NO GAIT|NO GAIT|NO GAIT,day|mist,83
1757731462.827985,3,NO GAIT|NO GAIT|NO GAIT,day|mist,99
1757731462.972618,3,NO GAIT|NO GAIT|NO GAIT,day|mist,79
1757731463.086151,3,NO GAIT|NO GAIT|NO GAIT,day|mist,78
1757731463.1982646,3,NO GAIT|NO GAIT|NO GAIT,day|mist,88
1757731463.3263721,3,NO GAIT|NO GAIT|NO GAIT,day|mist,41
1757731463.4495504,3,NO GAIT|NO GAIT|NO GAIT,day|mist,46
1757731463.5734763,3,NO GAIT|NO GAIT|NO GAIT,day|mist,63
1757731463.6623874,2,NO GAIT|NO GAIT,day|mist,58
1757731463.7736466,2,NO GAIT|NO GAIT,day|mist,72
1757731463.8736994,2,NO GAIT|NO GAIT,day|mist,43
1757731463.9811192,3,NO GAIT|NO GAIT|NO GAIT,day|mist,71
1757731464.1023808,3,NO GAIT|NO GAIT|NO GAIT,day|mist,70
1757731464.2424679,3,NO GAIT|NO GAIT|NO GAIT,day|mist,42
1757731464.3629956,3,NO GAIT|NO GAIT|NO GAIT,day|mist,80
1757731464.4767563,3,NO GAIT|NO GAIT|NO GAIT,day|mist,106
1757731464.6052682,3,NO GAIT|NO GAIT|NO GAIT,day|mist,86
1757731464.7340927,3,NO GAIT|NO GAIT|NO GAIT,day|mist,110
1757731464.8607838,3,NO GAIT|NO GAIT|NO GAIT,day|mist,93
1757731465.0064769,3,NO GAIT|NO GAIT|NO GAIT,day|mist,53
1757731465.1254294,3,NO GAIT|NO GAIT|NO GAIT,day|mist,43
1757731465.245265,3,NO GAIT|NO GAIT|NO GAIT,day|mist,76
1757731465.3792915,3,NO GAIT|NO GAIT|NO GAIT,day|mist,59
1757731465.4850464,3,NO GAIT|NO GAIT|NO GAIT,day|mist,60
1757731465.606798,3,NO GAIT|NO GAIT|NO GAIT,day|mist,79
1757731465.7234995,3,NO GAIT|NO GAIT|NO GAIT,day|mist,97
1757731465.8416467,3,NO GAIT|NO GAIT|NO GAIT,day|mist,92
1757731465.9912643,3,NO GAIT|NO GAIT|NO GAIT,day|mist,55
1757731466.092795,3,NO GAIT|NO GAIT|NO GAIT,day|mist,98
1757731466.2331219,3,NO GAIT|NO GAIT|NO GAIT,day|mist,99
1757731466.3489895,3,NO GAIT|NO GAIT|NO GAIT,day|mist,54
1757731466.4618182,3,NO GAIT|NO GAIT|NO GAIT,day|mist,78
1757731466.599132,3,NO GAIT|NO GAIT|NO GAIT,day|mist,43
1757731466.7291422,4,NO GAIT|NO GAIT|NO GAIT|NO GAIT,day|mist,100
1757731466.8291924,3,NO GAIT|NO GAIT|NO GAIT,day|mist,87
1757731466.957494,3,NO GAIT|NO GAIT|NO GAIT,day|mist,50
1757731467.0787416,3,NO GAIT|NO GAIT|NO GAIT,day|mist,102
1757731467.19737,3,NO GAIT|NO GAIT|NO GAIT,day|mist,42
1757731467.3096395,3,NO GAIT|NO GAIT|NO GAIT,day|mist,104
1757731467.4200037,3,NO GAIT|NO GAIT|NO GAIT,day|mist,51
1757731467.566003,3,NO GAIT|NO GAIT|NO GAIT,day|mist,86
1757731467.695122,3,NO GAIT|NO GAIT|NO GAIT,day|mist,71
1757731467.852512,3,NO GAIT|NO GAIT|NO GAIT,day|mist,43
1757731467.9573703,3,NO GAIT|NO GAIT|NO GAIT,day|mist,87
1757731468.0800366,3,NO GAIT|NO GAIT|NO GAIT,day|mist,97
1757731468.2182267,3,NO GAIT|NO GAIT|NO GAIT,day|mist,90
1757731468.3331172,3,NO GAIT|NO GAIT|NO GAIT,day|mist,60
1757731468.4463847,3,NO GAIT|NO GAIT|NO GAIT,day|mist,85
1757731468.5730517,3,NO GAIT|NO GAIT|NO GAIT,day|mist,110
1757731468.7150924,3,NO GAIT|NO GAIT|NO GAIT,day|mist,81
1757731468.8318336,3,NO GAIT|NO GAIT|NO GAIT,day|mist,92
1757731468.961393,3,NO GAIT|NO GAIT|NO GAIT,day|mist,102
1757731469.0995746,3,NO GAIT|NO GAIT|NO GAIT,day|mist,95
1757731469.2130508,3,NO GAIT|NO GAIT|NO GAIT,day|mist,41
1757731469.363641,3,NO GAIT|NO GAIT|NO GAIT,day|mist,40
1757731469.4796355,3,NO GAIT|NO GAIT|NO GAIT,day|mist,51
1757731469.5865993,3,NO GAIT|NO GAIT|NO GAIT,day|mist,88
1757731469.7091386,3,NO GAIT|NO GAIT|NO GAIT,day|mist,68
1757731469.8468003,3,NO GAIT|NO GAIT|NO GAIT,day|mist,56
1757731469.907866,0,None,day|mist,105
1757731469.9576585,0,None,day|mist,53
1757731470.0050006,0,None,day|mist,46
1757731470.0553632,0,None,day|mist,52
1757731470.105006,0,None,day|mist,110
1757731470.1509557,0,None,day|mist,45
1757731470.1980462,0,None,day|mist,98
1757731470.2507296,0,None,day|mist,75
1757731470.3163579,0,None,day|mist,92
1757731470.3651283,0,None,day|mist,102
1757731470.4123983,0,None,day|mist,105
1757731470.460211,0,None,day|mist,53
1757731470.5092435,0,None,day|mist,80
1757731470.5765734,0,None,day|mist,73
1757731470.6365514,0,None,day|mist,74
1757731470.70169,0,None,day|mist,49
1757731470.7644448,0,None,day|mist,92
1757731470.8282776,0,None,day|mist,43
1757731470.8985949,0,None,day|mist,85
1757731470.9517663,0,None,day|mist,74
1757731471.0092802,0,None,day|mist,58
1757731471.067635,0,None,day|mist,74
1757731471.165942,0,None,day|mist,88
1757731471.2297575,0,None,day|mist,77
1757731471.292979,0,None,day|mist,82
1757731471.3564,0,None,day|mist,95
1757731471.4107342,0,None,day|mist,59
1757731471.5341208,3,NO GAIT|NO GAIT|NO GAIT,day|mist,77
1757731471.6501808,3,NO GAIT|NO GAIT|NO GAIT,day|mist,78
1757731471.7761257,3,NO GAIT|NO GAIT|NO GAIT,day|mist,95
1757731471.9021788,3,NO GAIT|NO GAIT|NO GAIT,day|mist,105
1757731472.0200965,3,NO GAIT|NO GAIT|NO GAIT,day|mist,55
1757731472.1420636,3,NO GAIT|NO GAIT|NO GAIT,day|mist,100
1757731472.292465,3,NO GAIT|NO GAIT|NO GAIT,day|mist,98
1757731472.4126902,3,NO GAIT|NO GAIT|NO GAIT,day|mist,85
1757731472.5421267,3,NO GAIT|NO GAIT|NO GAIT,day|mist,46
1757731472.6703176,3,NO GAIT|NO GAIT|NO GAIT,day|mist,56
1757731472.7832587,3,NO GAIT|NO GAIT|NO GAIT,day|mist,64
1757731472.9084315,3,NO GAIT|NO GAIT|NO GAIT,day|mist,92
1757731473.0531285,3,NO GAIT|NO GAIT|NO GAIT,day|mist,78
1757731473.1717978,3,NO GAIT|NO GAIT|NO GAIT,day|mist,62
